#this was my original configurations file but the first threshold force actually lines up with the second regime lower bound

configuration_name,AC/DC,Sensor Type,Substrate,Graphene,Coating,threshold_forces,regimes,area
example1,AC,Loop,substrate 1,graphene 1,coating 1,"[80.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.8, -0.04, 0.0007]}, {""lower_bound_g"": 25.0, ""coefficients"": [2.6, -0.07, 0.0009]}, {""lower_bound_g"": 40.0, ""coefficients"": [3.5, -0.09, 0.0012]}]",200.0
example2,AC,Loop,substrate 2,graphene 2,coating 2,"[10.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.0, 2.0]}]",380.0
example3,AC,Loop,substrate 1,graphene 3,coating 3,"[38.2, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.9, -0.02, 0.0004]}, {""lower_bound_g"": 18.0, ""coefficients"": [3.2, -0.06, 0.001]}, {""lower_bound_g"": 32.0, ""coefficients"": [4.1, -0.1, 0.0015]}]",380.0
example4,DC,Loop,substrate 2,graphene 1,coating 2,"[42.7, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.4, -0.018, 0.00035]}, {""lower_bound_g"": 16.0, ""coefficients"": [2.5, -0.05, 0.0008]}, {""lower_bound_g"": 30.0, ""coefficients"": [3.5, -0.07, 0.0012]}]",380.0
example6,AC,Loop,substrate 2,graphene 1,coating 3,"[35.1, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.6, -0.029, 0.0005]}, {""lower_bound_g"": 14.0, ""coefficients"": [2.4, -0.054, 0.0009]}, {""lower_bound_g"": 26.0, ""coefficients"": [3.1, -0.072, 0.0013]}]",380.0
example7,DC,Loop,substrate 3,graphene 2,coating 2,"[44.3, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.3, -0.017, 0.0003]}, {""lower_bound_g"": 17.0, ""coefficients"": [2.7, -0.058, 0.001]}, {""lower_bound_g"": 33.0, ""coefficients"": [3.8, -0.085, 0.0015]}]",380.0
example8,AC,Loop,substrate 1,graphene 3,coating 2,"[27.8, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.7, -0.032, 0.0006]}, {""lower_bound_g"": 12.0, ""coefficients"": [2.3, -0.051, 0.0008]}, {""lower_bound_g"": 24.0, ""coefficients"": [2.8, -0.069, 0.0012]}]",380.0
example9,DC,Loop,substrate 2,graphene 2,coating 1,"[33.6, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.5, -0.026, 0.00045]}, {""lower_bound_g"": 15.0, ""coefficients"": [2.5, -0.057, 0.00095]}, {""lower_bound_g"": 30.0, ""coefficients"": [3.2, -0.075, 0.00135]}]",380.0
example10,AC,Loop,substrate 1,graphene 2,coating 3,"[30.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.6, -0.028, 0.00048]}, {""lower_bound_g"": 18.0, ""coefficients"": [2.2, -0.049, 0.00083]}, {""lower_bound_g"": 34.0, ""coefficients"": [2.9, -0.074, 0.00125]}]",380.0
S6,DC,Loop,Panasonic,GR94-04,Kapton,"[25.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [5.46362163366632e-05, -0.00162552395768801, 1.00085549404542]}, {""lower_bound_g"": 25.0, ""coefficients"": [-2.35215890588715e-08, 2.86199132866993e-05, 0.988678913850799]}]",380.0
S14,DC,Loop,PET,GR94-04,C81,"[20.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [0.0, 0.0, 0.0]}, {""lower_bound_g"": 25.0, ""coefficients"": [1.92829484816689e-07, -4.16766830542737e-05, 0.9832831744851]}]",380.0
S25,DC,Loop,PET,GR113,CAD,"[25.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [-3.53419019558077e-05, 0.000859869970010837, 0.994059532867021]}, {""lower_bound_g"": 25.0, ""coefficients"": [7.50305089194384e-08, -2.38570300085326e-05, 0.997947640557505]}]",380.0
S27,DC,Loop,PET,GR113B,CAD,"[25.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.78899894382111e-05, -0.000610370201701016, 1.00052528577642]}, {""lower_bound_g"": 25.0, ""coefficients"": [5.24354893550685e-09, 6.79958975308748e-05, 0.992959124411341]}]",380.0
S27,AC,Loop,PET,GR113B,CAD,"[25.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.91577439255133e-05, -0.000374170006424303, 0.998319120662495]}, {""lower_bound_g"": 25.0, ""coefficients"": [1.09715271360808e-07, -2.24322306412863e-05, 0.999317439783158]}]",380.0
S30,DC,Loop,C81,GR116,C81,"[35.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [-0.000498508088467749, 0.00547353261401188, 0.916173497668656]}, {""lower_bound_g"": 25.0, ""coefficients"": [2.30447346633834e-06, -0.000846301392001837, 0.686313860334823]}]",380.0
S30,AC,Loop,C81,GR116,C81,"[25.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [-0.000891619037320811, 0.0104604377780524, 0.954737086010875]}, {""lower_bound_g"": 25.0, ""coefficients"": [6.19537351705388e-06, -0.00185616086875927, 0.702264891250618]}]",380.0
S31,DC,Loop,C81,GR109,C81,"[50.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [3.32127746918482e-05, -0.00110911642481004, 0.996788027771799]}, {""lower_bound_g"": 25.0, ""coefficients"": [-1.74058417032233e-07, 5.75607137255431e-05, 1.01196754088507]}]",380.0
S33,AC,Loop,PET,GR116 P1,C81,"[25.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [-0.000131207296809534, -0.00883626620872787, 1.00674338731605]}, {""lower_bound_g"": 25.0, ""coefficients"": [2.03107488412399e-06, -0.00065779529499686, 0.735182976761196]}]",380.0
S35,DC,Loop,PET,GR116,CAD,"[30.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [1.25452786565144e-05, -0.000826425178374327, 1.0002584165407]}, {""lower_bound_g"": 25.0, ""coefficients"": [6.79898698166931e-08, -2.06779435269046e-05, 0.990364663657011]}]",380.0
S36,DC,Loop,C20,GR116,C20,"[40.0, 200.0]","[{""lower_bound_g"": 0.0, ""coefficients"": [2.22117700038426e-05, -0.00172216880754286, 0.772872156664114]}, {""lower_bound_g"": 25.0, ""coefficients"": [3.43695583708512e-07, -0.000178565209834813, 0.744083222461726]}]",380.0
