configuration_name,Threshold force (g),Sensor type,AC/DC,Substrate,Graphene ,Coating,Hyst ratio,Lower regime coeffs (loading),Upper regime coeffs (loading),Lower regime coeffs (unloading),Upper regime coeffs (unloading)
S6,25,Loop,DC,Panasonic,GR94-04,Kapton,1.5046,"['0.00005519', '-0.001642', '1.011']","['-0.00000002376', '0.00002891', '0.9987']","['0.00005395', '-0.001805', '1.017']","['0.00000004261', '-0.0000007982', '1.002']"
S14,20,Loop,DC,PET,GR94-04,C81,0.4499,N/A,"['0.0000001965', '-0.00004247', '1.002']",N/A,"['0.00000005709', '0.00001697', '0.9952']"
S25,25,Loop,DC,PET,GR113,CAD,0.3811,"['-0.00003545', '0.0008625', '0.9971']","['0.00000007526', '-0.00002393', '1.001']","['0.000002914', '-0.0001000', '0.9984']","['-0.000000002326', '0.000009238', '0.9974']"
S27,25,Loop,DC,PET,GR113B,CAD,1.22,"['0.00001797', '-0.0006131', '1.005']","['0.000000005267', '0.00006830', '0.9974']","['0.00005531', '-0.001678', '1.011']","['-0.00000002009', '0.00006679', '0.9991']"
S27,25,Loop,AC,PET,GR113B,CAD,0.7111,"['0.00001919', '-0.0003748', '1.000']","['0.0000001099', '-0.00002247', '1.001']","['0.00001038', '-0.0001806', '0.9986']","['-0.00000001517', '0.00002058', '0.9975']"
S30,35,Loop,DC,C81,GR116,C81,0.8102,"['-0.0007634', '0.008382', '1.403']","['0.000003529', '-0.001296', '1.051']","['0.0007547', '-0.05244', '1.907']","['0.000006612', '-0.002108', '1.088']"
S30,25,Loop,AC,C81,GR116,C81,0.6244,"['-0.001455', '0.01707', '1.558']","['0.00001011', '-0.003029', '1.146']","['-0.0006480', '-0.02298', '1.825']","['0.000003966', '-0.001358', '1.037']"
S31,50,Loop,DC,C81,GR109,C81,0.9895,"['0.00003282', '-0.001096', '0.9850']","['-0.0000001720', '0.00005688', '1.000']","['0.000009433', '0.0001909', '0.9740']","['-0.0000001048', '0.00005846', '0.9976']"
S33,25,Loop,AC,PET,GR116 P1,C81,0.0843,"['-0.0001865', '-0.01256', '1.431']","['0.000002887', '-0.0009350', '1.045']","['0.001587', '-0.05540', '1.444']","['0.0000001947', '-0.00001380', '0.9632']"
S35,30,Loop,DC,PET,GR116,CAD,0.3842,"['0.00001268', '-0.0008353', '1.011']","['0.00000006872', '-0.00002090', '1.001']","['0.00002049', '-0.0007334', '1.004']","['0.000000002967', '0.00001066', '0.9970']"
S36,40,Loop,DC,C20,GR116,C20,0.1533,"['0.00003009', '-0.002333', '1.047']","['0.0000004656', '-0.0002419', '1.008']","['0.00004593', '-0.001773', '0.9803']","['0.0000004557', '-0.00002527', '0.9622']"
S36,10,Loop,AC,C20,GR116,C20,0.1871,"['0.001711', '-0.04192', '1.253']","['0.000005010', '-0.0008913', '1.031']","['0.002916', '-0.03533', '1.061']","['0.000001457', '-0.00003425', '0.9803']"
S38,25,Loop,AC,5202,GR113B,5202,0.7122,"['-0.00008949', '0.002163', '0.9919']","['0.0000002170', '-0.00002608', '1.001']",N/A,"['-0.00000002185', '0.00006409', '0.9927']"
S39,25,Loop,AC,Nitrile Rubber,GR113B,C81,1.003,"['0.0000008186', '0.0002291', '0.9933']","['0.0000001541', '0.000003993', '0.9998']","['-0.00002828', '0.0009875', '0.9894']","['-0.00000007188', '0.00007862', '0.9948']"
S40,25,Loop,AC,PEEK,GR113B,CAD,1.2055,"['0.00001611', '-0.0002015', '0.9989']","['-0.0000003849', '0.0001252', '0.9952']","['-0.00001580', '0.0005785', '0.9978']","['-0.00000004427', '0.00002134', '1.003']"
,,,,,,,,,,,
Other information,,,,,,,,,,,
Regime threshold (g) = 25,,,,,,,,,,,
AC frequency (Hz) = 100000,,,,,,,,,,,
S36AC only goes to 100g,,,,,,,,,,,
Some curves could not be fit marked N/A,,,,,,,,,,,
Coefficients given from highest to lowest quadratic power ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
