Sample,Threshold force (g),AC/DC,Coating,Graphene ,Substrate,Hyst ratio,Lower regime coeffs (loading),Upper regime coeffs (loading),,,,
S6,25,DC,Kapton,GR94-04,Panasonic,1.5046,"['5.46362163366632E-05', '-0.00162552395768801', '1.00085549404542']","['-2.35215890588715E-08', '2.86199132866993E-05', '0.988678913850799']",,,,
S14,20,DC,C81,GR94-04,PET,0.4499,N/A,"['1.92829484816689E-07', '-4.16766830542737E-05', '0.9832831744851']",,,,
S25,25,DC,CAD,GR113,PET,0.3811,"['-3.53419019558077E-05', '0.000859869970010837', '0.994059532867021']","['7.50305089194384E-08', '-2.38570300085326E-05', '0.997947640557505']",,,,
S27,25,DC,CAD,GR113B,PET,1.22,"['1.78899894382111E-05', '-0.000610370201701016', '1.00052528577642']","['5.24354893550685E-09', '6.79958975308748E-05', '0.992959124411341']",,,,
S27,25,AC,CAD,GR113B,PET,0.7111,"['1.91577439255133E-05', '-0.000374170006424303', '0.998319120662495']","['1.09715271360808E-07', '-2.24322306412863E-05', '0.999317439783158']",,,,
S30,35,DC,C81,GR116,C81,0.8102,"['-0.000498508088467749', '0.00547353261401188', '0.916173497668656']","['2.30447346633834E-06', '-0.000846301392001837', '0.686313860334823']",,,,
S30,25,AC,C81,GR116,C81,0.6244,"['-0.000891619037320811', '0.0104604377780524', '0.954737086010875']","['6.19537351705388E-06', '-0.00185616086875927', '0.702264891250618']",,,,
S31,50,DC,C81,GR109,C81,0.9895,"['3.32127746918482E-05', '-0.00110911642481004', '0.996788027771799']","['-1.74058417032233E-07', '5.75607137255431E-05', '1.01196754088507']",,,,
S33,25,AC,C81,GR116 P1,PET,0.0843,"['-0.000131207296809534', '-0.00883626620872787', '1.00674338731605']","['2.03107488412399E-06', '-0.00065779529499686', '0.735182976761196']",,,,
S35,30,DC,CAD,GR116,PET,0.3842,"['1.25452786565144E-05', '-0.000826425178374327', '1.0002584165407']","['6.79898698166931E-08', '-2.06779435269046E-05', '0.990364663657011']",,,,
S36,40,DC,C20,GR116,C20,0.1533,"['2.22117700038426E-05', '-0.00172216880754286', '0.772872156664114']","['3.43695583708512E-07', '-0.000178565209834813', '0.744083222461726']",,,,
S36,10,AC,C20,GR116,C20,0.1871,"['0.00137025272640666', '-0.0335715922214887', '1.00346386100967']","['4.0122537459365E-06', '-0.000713796759232177', '0.82567537166877']",,,,
S38,25,AC,5202,GR113B,5202,0.7122,"['-8.86823556284846E-05', '0.00214347899457383', '0.982948134404893']","['2.15041581979899E-07', '-2.58446288388745E-05', '0.991966007197598']",,,,
S39,25,AC,C81,GR113B,Nitrile Rubber,1.003,"['8.21045648509261E-07', '0.000229784458921905', '0.996267582047701']","['1.5456038899985E-07', '4.00492948265023E-06', '1.00278700144095']",,,,
S40,25,AC,CAD,GR113B,PEEK,1.2055,"['1.61202896709901E-05', '-0.000201628700726536', '0.999538010698447']","['-3.85145840742649E-07', '0.000125279966903039', '0.9958356474593']",,,,
S42,15,AC,C81,GR116 C,PET,0.6046,"['-0.000114340095253136', '0.000930912279010232', '0.9982769854793']","['4.37170958598964E-08', '-2.36476106091712E-05', '1.00047583346494']",,,,
