category,value
AC/DC,AC
AC/DC,DC
Sensor Type,3-loop
Sensor Type,4-Loop
Sensor Type,hi
Sensor Type,Loop
Sensor Type,rectangle
Sensor Type,square
Substrate,5202
Substrate,C20
Substrate,C81
Substrate,Nitrile Rubber
Substrate,Panasonic
Substrate,PEEK
Substrate,PET
Substrate,substrate 1
Substrate,substrate 2
Substrate,substrate 3
Substrate,substrate 4
Graphene,GR94-04
Graphene,GR109
Graphene,GR109(M10)
Graphene,GR113
Graphene,GR113B
Graphene,GR116
Graphene,GR116 P1
Graphene,graphene 1
Graphene,graphene 2
Graphene,graphene 3
Coating,5202
Coating,C20
Coating,C81
Coating,CAD
Coating,coating 1
Coating,coating 2
Coating,coating 3
Coating,Kapton
